negatives
"frozenset({'P83876', 'AndrogenReceptor', 'O75643'})"
"frozenset({'Q86WH2', 'Q66K74', 'AndrogenReceptor'})"
"frozenset({'Q9UKS7', 'AndrogenReceptor', 'Q96ST3'})"
"frozenset({'Q8TEP8', 'Q7Z7A1', 'AndrogenReceptor'})"
"frozenset({'O75694', 'P01106', 'AndrogenReceptor'})"
"frozenset({'P35221', 'AndrogenReceptor', 'O75474'})"
"frozenset({'Q9UBW8', 'P38936', 'AndrogenReceptor'})"
"frozenset({'P36894', 'AndrogenReceptor', 'P62942'})"
"frozenset({'P17812', 'Q68CZ1', 'AndrogenReceptor'})"
"frozenset({'P56705', 'AndrogenReceptor', 'Q9NPG1'})"
"frozenset({'AndrogenReceptor', 'P15514', 'P05362'})"
"frozenset({'P63092', 'P41594', 'AndrogenReceptor'})"
"frozenset({'P05412', 'AndrogenReceptor', 'Q9UNH7'})"
"frozenset({'Q15154', 'AndrogenReceptor', 'Q9BZD4'})"
"frozenset({'Q05952', 'P22694', 'AndrogenReceptor'})"
"frozenset({'P13861', 'AndrogenReceptor', 'O75665'})"
"frozenset({'Q9P2Y4', 'Q13363', 'AndrogenReceptor'})"
"frozenset({'Q8IZI9', 'Q9HBE5', 'AndrogenReceptor'})"
"frozenset({'Q9BWU1', 'Q93074', 'AndrogenReceptor'})"
"frozenset({'P22694', 'AndrogenReceptor', 'Q5TZ20'})"
"frozenset({'AndrogenReceptor', 'Q15773', 'P54646'})"
"frozenset({'Q8TAM2', 'AndrogenReceptor', 'Q8N3I7'})"
"frozenset({'Q9Y4K3', 'Q7Z4Q2', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9P0J7', 'P63146'})"
"frozenset({'Q9BXS5', 'AndrogenReceptor', 'Q9H1H9'})"
"frozenset({'Q96GS4', 'AndrogenReceptor', 'Q9UHA4'})"
"frozenset({'Q12962', 'AndrogenReceptor', 'Q08378'})"
"frozenset({'P17900', 'AndrogenReceptor', 'Q03933'})"
"frozenset({'Q92805', 'AndrogenReceptor', 'Q96KQ4'})"
"frozenset({'Q69YU3', 'AndrogenReceptor', 'Q9UHB6'})"
"frozenset({'Q13546', 'P19438', 'AndrogenReceptor'})"
"frozenset({'P27105', 'Q9Y3A5', 'AndrogenReceptor'})"
"frozenset({'O95714', 'Q13347', 'AndrogenReceptor'})"
"frozenset({'O60701', 'AndrogenReceptor', 'Q9NTG7'})"
"frozenset({'Q16543', 'Q9NTM9', 'AndrogenReceptor'})"
"frozenset({'Q13362', 'AndrogenReceptor', 'Q16851'})"
"frozenset({'Q8IUE6', 'P33778', 'AndrogenReceptor'})"
"frozenset({'Q13616', 'AndrogenReceptor', 'P50914'})"
"frozenset({'Q8TAG9', 'Q9Y2H9', 'AndrogenReceptor'})"
"frozenset({'O60828', 'AndrogenReceptor', 'P62136'})"
"frozenset({'O60573', 'AndrogenReceptor', 'O43597'})"
"frozenset({'O14964', 'AndrogenReceptor', 'O43597'})"
"frozenset({'O75364', 'Q99497', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P82675', 'P0C7P4'})"
"frozenset({'P19012', 'Q7Z794', 'AndrogenReceptor'})"
"frozenset({'Q6IQ23', 'AndrogenReceptor', 'Q8WWM7'})"
"frozenset({'Q96QZ7', 'Q8N122', 'AndrogenReceptor'})"
"frozenset({'P00519', 'AndrogenReceptor', 'O00254'})"
"frozenset({'P23284', 'AndrogenReceptor', 'Q14653'})"
"frozenset({'P06241', 'Q8IWN7', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P61313', 'Q00987'})"
"frozenset({'Q9NXV6', 'P07099', 'AndrogenReceptor'})"
"frozenset({'P50336', 'AndrogenReceptor', 'O14498'})"
"frozenset({'AndrogenReceptor', 'Q16891', 'Q9BQ95'})"
"frozenset({'P62888', 'AndrogenReceptor', 'Q96EK7'})"
"frozenset({'P00519', 'AndrogenReceptor', 'O15151'})"
"frozenset({'Q9BQS6', 'Q9Y2A7', 'AndrogenReceptor'})"
"frozenset({'Q9NRG4', 'AndrogenReceptor', 'P07900'})"
"frozenset({'P05129', 'AndrogenReceptor', 'Q9NRA0'})"
"frozenset({'Q12888', 'AndrogenReceptor', 'P78337'})"
"frozenset({'Q9H773', 'AndrogenReceptor', 'P01889'})"
"frozenset({'P11387', 'AndrogenReceptor', 'Q96JC9'})"
"frozenset({'Q5SW79', 'Q9BR76', 'AndrogenReceptor'})"
"frozenset({'Q8N0V5', 'Q9H1A3', 'AndrogenReceptor'})"
"frozenset({'O95785', 'AndrogenReceptor', 'Q8IXM2'})"
"frozenset({'P05423', 'P62875', 'AndrogenReceptor'})"
"frozenset({'Q71F23', 'O15031', 'AndrogenReceptor'})"
"frozenset({'Q16659', 'AndrogenReceptor', 'O60711'})"
"frozenset({'Q96CS3', 'P55072', 'AndrogenReceptor'})"
"frozenset({'Q9Y276', 'AndrogenReceptor', 'Q7Z7H8'})"
"frozenset({'P05026', 'AndrogenReceptor', 'P10515'})"
"frozenset({'Q13616', 'AndrogenReceptor', 'P15927'})"
"frozenset({'P12236', 'AndrogenReceptor', 'Q96CW1'})"
"frozenset({'AndrogenReceptor', 'Q15287', 'P05412'})"
"frozenset({'Q99856', 'AndrogenReceptor', 'Q01094'})"
"frozenset({'Q9NTZ6', 'AndrogenReceptor', 'P55263'})"
"frozenset({'P26358', 'Q16695', 'AndrogenReceptor'})"
"frozenset({'O43493', 'AndrogenReceptor', 'Q8N9I0'})"
"frozenset({'AndrogenReceptor', 'Q9HB09', 'Q07817'})"
"frozenset({'AndrogenReceptor', 'P49736', 'P33316'})"
"frozenset({'P04150', 'Q9Y618', 'AndrogenReceptor'})"
"frozenset({'Q99689', 'AndrogenReceptor', 'Q00987'})"
"frozenset({'P21980', 'AndrogenReceptor', 'O00505'})"
"frozenset({'Q8WYP5', 'AndrogenReceptor', 'A0JLT2'})"
"frozenset({'Q8NH50', 'P62873', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P26651', 'P49137'})"
"frozenset({'O60832', 'AndrogenReceptor', 'P49321'})"
"frozenset({'O15228', 'AndrogenReceptor', 'P50542'})"
"frozenset({'P22694', 'AndrogenReceptor', 'P0C7T3'})"
"frozenset({'Q9BW04', 'AndrogenReceptor', 'P10275'})"
"frozenset({'Q96HU1', 'P61020', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q12933', 'Q8N5C8'})"
"frozenset({'AndrogenReceptor', 'Q9UBU9', 'Q86XP3'})"
"frozenset({'P49116', 'Q9NR12', 'AndrogenReceptor'})"
"frozenset({'Q9UGM1', 'AndrogenReceptor', 'Q9Y397'})"
"frozenset({'Q15293', 'P35228', 'AndrogenReceptor'})"
"frozenset({'Q9Y2R0', 'AndrogenReceptor', 'P42704'})"
"frozenset({'AndrogenReceptor', 'Q9UJU6', 'Q8NFW8'})"
"frozenset({'P68871', 'P38919', 'AndrogenReceptor'})"
"frozenset({'Q16526', 'AndrogenReceptor', 'Q99743'})"
"frozenset({'Q9UNX3', 'AndrogenReceptor', 'P49736'})"
"frozenset({'P21860', 'AndrogenReceptor', 'P68366'})"
"frozenset({'Q9Y394', 'Q8TDD5', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q6UX41', 'Q75T13'})"
"frozenset({'O95433', 'Q14974', 'AndrogenReceptor'})"
"frozenset({'P60520', 'P46777', 'AndrogenReceptor'})"
"frozenset({'O75146', 'AndrogenReceptor', 'P19320'})"
"frozenset({'Q13561', 'Q8TAQ2', 'AndrogenReceptor'})"
"frozenset({'Q9UH62', 'AndrogenReceptor', 'P84996'})"
"frozenset({'Q13535', 'Q149N8', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q5VWK5', 'P01562'})"
"frozenset({'P03886', 'AndrogenReceptor', 'Q14517'})"
"frozenset({'O43318', 'AndrogenReceptor', 'Q9BQ95'})"
"frozenset({'P00533', 'AndrogenReceptor', 'Q9H0M0'})"
"frozenset({'P17612', 'AndrogenReceptor', 'Q01814'})"
"frozenset({'AndrogenReceptor', 'O15160', 'Q9H2D6'})"
"frozenset({'P40337', 'AndrogenReceptor', 'O43521'})"
"frozenset({'Q9BUF5', 'AndrogenReceptor', 'Q96AZ1'})"
"frozenset({'Q15436', 'AndrogenReceptor', 'Q9Y4J8'})"
"frozenset({'Q7Z2E3', 'O60336', 'AndrogenReceptor'})"
"frozenset({'P23284', 'AndrogenReceptor', 'Q8N9N5'})"
"frozenset({'Q9Y3B2', 'AndrogenReceptor', 'P09874'})"
"frozenset({'Q71SY5', 'AndrogenReceptor', 'Q5T200'})"
"frozenset({'AndrogenReceptor', 'Q9UQC2', 'P42336'})"
"frozenset({'P16284', 'P07948', 'AndrogenReceptor'})"
"frozenset({'Q03135', 'AndrogenReceptor', 'P20264'})"
"frozenset({'Q07021', 'AndrogenReceptor', 'O75616'})"
"frozenset({'Q15262', 'Q6UVY6', 'AndrogenReceptor'})"
"frozenset({'P17081', 'AndrogenReceptor', 'Q9P227'})"
"frozenset({'P29692', 'AndrogenReceptor', 'Q6P1J9'})"
"frozenset({'Q58A45', 'AndrogenReceptor', 'Q4VXU2'})"
"frozenset({'Q3SY00', 'O60504', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q96BD8', 'O95295'})"
"frozenset({'O14802', 'AndrogenReceptor', 'P30876'})"
"frozenset({'P29083', 'AndrogenReceptor', 'P05067'})"
"frozenset({'Q96IZ0', 'P68400', 'AndrogenReceptor'})"
"frozenset({'Q05086', 'Q03701', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O95817', 'Q8WUD1'})"
"frozenset({'P01100', 'AndrogenReceptor', 'P53778'})"
"frozenset({'Q8WWB7', 'AndrogenReceptor', 'Q8IZH2'})"
"frozenset({'Q13507', 'AndrogenReceptor', 'Q9Y210'})"
"frozenset({'Q9Y2T1', 'Q15973', 'AndrogenReceptor'})"
"frozenset({'Q08380', 'Q96LC7', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O14757', 'Q9UJM3'})"
"frozenset({'AndrogenReceptor', 'P41227', 'P18440'})"
"frozenset({'P51665', 'AndrogenReceptor', 'Q9NZ45'})"
"frozenset({'Q7Z4R8', 'AndrogenReceptor', 'Q9Y2A9'})"
"frozenset({'AndrogenReceptor', 'P60891', 'P68366'})"
"frozenset({'Q9P2D3', 'AndrogenReceptor', 'P26045'})"
"frozenset({'AndrogenReceptor', 'Q8N6F8', 'O95872'})"
"frozenset({'P17612', 'Q8NGK0', 'AndrogenReceptor'})"
"frozenset({'O00429', 'Q96C03', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P01889', 'P39656'})"
"frozenset({'Q9H1Y0', 'Q8IZQ1', 'AndrogenReceptor'})"
"frozenset({'P15692', 'Q12906', 'AndrogenReceptor'})"
"frozenset({'O96013', 'Q9UBI6', 'AndrogenReceptor'})"
"frozenset({'P56199', 'AndrogenReceptor', 'Q13751'})"
"frozenset({'Q96NB2', 'Q70UQ0', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P01023', 'P39656'})"
"frozenset({'P23458', 'AndrogenReceptor', 'O15524'})"
"frozenset({'Q5TCM9', 'Q5T7P2', 'AndrogenReceptor'})"
"frozenset({'Q92783', 'Q96RU2', 'AndrogenReceptor'})"
"frozenset({'Q8IZU0', 'Q8N8B7', 'AndrogenReceptor'})"
"frozenset({'P36578', 'AndrogenReceptor', 'Q14978'})"
"frozenset({'P33992', 'AndrogenReceptor', 'P04406'})"
"frozenset({'Q9HB71', 'P25815', 'AndrogenReceptor'})"
"frozenset({'Q8IXH7', 'Q8WX92', 'AndrogenReceptor'})"
"frozenset({'O43482', 'Q9NWM3', 'AndrogenReceptor'})"
"frozenset({'P11279', 'Q8NBK3', 'AndrogenReceptor'})"
"frozenset({'Q8IUC1', 'AndrogenReceptor', 'O75593'})"
"frozenset({'AndrogenReceptor', 'Q16637', 'P49841'})"
"frozenset({'Q9H0W5', 'P40937', 'AndrogenReceptor'})"
"frozenset({'P51858', 'AndrogenReceptor', 'P13797'})"
"frozenset({'Q7L1I2', 'AndrogenReceptor', 'Q16363'})"
"frozenset({'O75385', 'P17612', 'AndrogenReceptor'})"
"frozenset({'Q9HD26', 'AndrogenReceptor', 'Q7Z2X4'})"
"frozenset({'Q9H0W5', 'AndrogenReceptor', 'P04637'})"
"frozenset({'O95758', 'AndrogenReceptor', 'Q3SYG4'})"
"frozenset({'Q9Y297', 'AndrogenReceptor', 'Q8NF37'})"
"frozenset({'Q96C10', 'AndrogenReceptor', 'Q9NUL3'})"
"frozenset({'Q9UHF7', 'AndrogenReceptor', 'O14519'})"
"frozenset({'AndrogenReceptor', 'Q8WUI4', 'Q9C0D3'})"
"frozenset({'Q16659', 'O76024', 'AndrogenReceptor'})"
"frozenset({'P54829', 'AndrogenReceptor', 'P45983'})"
"frozenset({'AndrogenReceptor', 'P28702', 'Q15042'})"
"frozenset({'Q99942', 'Q9NWH2', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P61201', 'Q9UNS2'})"
"frozenset({'P62826', 'P18583', 'AndrogenReceptor'})"
"frozenset({'Q9Y566', 'AndrogenReceptor', 'O95490'})"
"frozenset({'P51957', 'AndrogenReceptor', 'Q8IUF1'})"
"frozenset({'Q6A162', 'P48023', 'AndrogenReceptor'})"
"frozenset({'Q9UH62', 'P43115', 'AndrogenReceptor'})"
"frozenset({'Q13261', 'O95999', 'AndrogenReceptor'})"
"frozenset({'Q8IY92', 'AndrogenReceptor', 'Q5SRE5'})"
"frozenset({'P45984', 'P37231', 'AndrogenReceptor'})"
"frozenset({'P21980', 'AndrogenReceptor', 'P49354'})"
"frozenset({'Q9NS18', 'AndrogenReceptor', 'P99999'})"
"frozenset({'P12931', 'AndrogenReceptor', 'P08962'})"
"frozenset({'Q9GZT8', 'AndrogenReceptor', 'Q9HAV7'})"
"frozenset({'Q8TC07', 'P51149', 'AndrogenReceptor'})"
"frozenset({'Q13595', 'AndrogenReceptor', 'Q96KR1'})"
"frozenset({'Q15434', 'O14980', 'AndrogenReceptor'})"
"frozenset({'Q9UHD1', 'Q9H0G5', 'AndrogenReceptor'})"
"frozenset({'Q93034', 'AndrogenReceptor', 'Q5TAX3'})"
"frozenset({'AndrogenReceptor', 'Q9BPZ3', 'O15534'})"
"frozenset({'Q92831', 'AndrogenReceptor', 'O95602'})"
"frozenset({'P51451', 'AndrogenReceptor', 'Q9UII2'})"
"frozenset({'Q5H9F3', 'AndrogenReceptor', 'Q8WUI4'})"
"frozenset({'Q96LA8', 'AndrogenReceptor', 'Q15717'})"
"frozenset({'Q9P209', 'AndrogenReceptor', 'Q2KHM9'})"
"frozenset({'Q13151', 'Q15366', 'AndrogenReceptor'})"
"frozenset({'P38606', 'P04629', 'AndrogenReceptor'})"
"frozenset({'Q15047', 'O43463', 'AndrogenReceptor'})"
"frozenset({'Q9NX14', 'AndrogenReceptor', 'P22612'})"
